# time, 1st underlying asset price, 2nd underlying asset price, 3rd underlying asset price, 4th underlying asset price, price
3.000000000000000000e+01, 1.406250000000000000e+01, 2.531250000000000000e+01, 1.218750000000000000e+01, 8.437500000000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 2.906250000000000000e+01, 1.031250000000000000e+01, 2.718750000000000000e+01, 2.343750000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 6.562500000000000000e+00, 2.812500000000000000e+00, 4.687500000000000000e+00, 1.593750000000000000e+00, 7.047859191894531250e+00
3.000000000000000000e+01, 2.156250000000000000e+01, 1.781250000000000000e+01, 1.968750000000000000e+01, 9.375000000000000000e-02, 0.000000000000000000e+00
3.000000000000000000e+01, 2.812500000000000000e+00, 1.406250000000000000e+01, 8.437500000000000000e+00, 1.968750000000000000e+00, 7.084905147552490234e+00
3.000000000000000000e+01, 1.781250000000000000e+01, 2.906250000000000000e+01, 2.343750000000000000e+01, 4.687500000000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 1.031250000000000000e+01, 2.156250000000000000e+01, 9.375000000000000000e-01, 1.218750000000000000e+00, 8.885951995849609375e+00
3.000000000000000000e+01, 2.531250000000000000e+01, 6.562500000000000000e+00, 1.593750000000000000e+01, 2.718750000000000000e+00, 3.409414529800415039e+00
3.000000000000000000e+01, 4.687500000000000000e+00, 1.593750000000000000e+01, 2.531250000000000000e+01, 2.531250000000000000e+00, 5.265734672546386719e+00
3.000000000000000000e+01, 1.968750000000000000e+01, 9.375000000000000000e-01, 1.031250000000000000e+01, 1.031250000000000000e+00, 8.867549896240234375e+00
3.000000000000000000e+01, 1.218750000000000000e+01, 8.437500000000000000e+00, 1.781250000000000000e+01, 2.812500000000000000e-01, 1.294287562370300293e+00
3.000000000000000000e+01, 2.718750000000000000e+01, 2.343750000000000000e+01, 2.812500000000000000e+00, 1.781250000000000000e+00, 7.066364765167236328e+00
3.000000000000000000e+01, 8.437500000000000000e+00, 4.687500000000000000e+00, 2.906250000000000000e+01, 6.562500000000000000e-01, 5.080850124359130859e+00
3.000000000000000000e+01, 2.343750000000000000e+01, 1.968750000000000000e+01, 1.406250000000000000e+01, 2.156250000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 9.375000000000000000e-01, 2.718750000000000000e+01, 2.156250000000000000e+01, 2.906250000000000000e+00, 9.053129196166992188e+00
3.000000000000000000e+01, 1.593750000000000000e+01, 1.218750000000000000e+01, 6.562500000000000000e+00, 1.406250000000000000e+00, 3.279388189315795898e+00
3.000000000000000000e+01, 7.968750000000000000e+00, 1.828125000000000000e+01, 1.734375000000000000e+01, 2.109375000000000000e+00, 1.942582964897155762e+00
3.000000000000000000e+01, 2.296875000000000000e+01, 3.281250000000000000e+00, 2.343750000000000000e+00, 6.093750000000000000e-01, 7.420022487640380859e+00
3.000000000000000000e+01, 4.687500000000000000e-01, 1.078125000000000000e+01, 2.484375000000000000e+01, 1.359375000000000000e+00, 9.368526458740234375e+00
3.000000000000000000e+01, 1.546875000000000000e+01, 2.578125000000000000e+01, 9.843750000000000000e+00, 2.859375000000000000e+00, 1.421973854303359985e-01
3.000000000000000000e+01, 4.218750000000000000e+00, 7.031250000000000000e+00, 2.109375000000000000e+01, 9.843750000000000000e-01, 5.581705093383789062e+00
3.000000000000000000e+01, 1.921875000000000000e+01, 2.203125000000000000e+01, 6.093750000000000000e+00, 2.484375000000000000e+00, 3.854820251464843750e+00
3.000000000000000000e+01, 1.171875000000000000e+01, 2.953125000000000000e+01, 2.859375000000000000e+01, 1.734375000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 2.671875000000000000e+01, 1.453125000000000000e+01, 1.359375000000000000e+01, 2.343750000000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 2.343750000000000000e+00, 2.390625000000000000e+01, 4.218750000000000000e+00, 4.218750000000000000e-01, 7.401732444763183594e+00
3.000000000000000000e+01, 1.734375000000000000e+01, 8.906250000000000000e+00, 1.921875000000000000e+01, 1.921875000000000000e+00, 9.865165948867797852e-01
3.000000000000000000e+01, 9.843750000000000000e+00, 1.406250000000000000e+00, 1.171875000000000000e+01, 2.671875000000000000e+00, 8.560991287231445312e+00
3.000000000000000000e+01, 2.484375000000000000e+01, 1.640625000000000000e+01, 2.671875000000000000e+01, 1.171875000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 1.359375000000000000e+01, 1.265625000000000000e+01, 4.687500000000000000e-01, 2.296875000000000000e+00, 9.461184501647949219e+00
3.000000000000000000e+01, 2.859375000000000000e+01, 2.765625000000000000e+01, 1.546875000000000000e+01, 7.968750000000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 6.093750000000000000e+00, 2.015625000000000000e+01, 7.968750000000000000e+00, 4.687500000000000000e-02, 3.615255355834960938e+00
3.000000000000000000e+01, 2.109375000000000000e+01, 5.156250000000000000e+00, 2.296875000000000000e+01, 1.546875000000000000e+00, 4.699488162994384766e+00
3.000000000000000000e+01, 7.031250000000000000e+00, 7.968750000000000000e+00, 2.953125000000000000e+01, 2.953125000000000000e+00, 2.964063644409179688e+00
3.000000000000000000e+01, 2.203125000000000000e+01, 2.296875000000000000e+01, 1.453125000000000000e+01, 1.453125000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 1.453125000000000000e+01, 1.546875000000000000e+01, 2.203125000000000000e+01, 7.031250000000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 2.953125000000000000e+01, 4.687500000000000000e-01, 7.031250000000000000e+00, 2.203125000000000000e+00, 9.451879501342773438e+00
3.000000000000000000e+01, 1.078125000000000000e+01, 2.671875000000000000e+01, 2.578125000000000000e+01, 3.281250000000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 2.578125000000000000e+01, 1.171875000000000000e+01, 1.078125000000000000e+01, 1.828125000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 3.281250000000000000e+00, 4.218750000000000000e+00, 1.828125000000000000e+01, 2.578125000000000000e+00, 6.676651477813720703e+00
3.000000000000000000e+01, 1.828125000000000000e+01, 1.921875000000000000e+01, 3.281250000000000000e+00, 1.078125000000000000e+00, 6.528397560119628906e+00
3.000000000000000000e+01, 1.265625000000000000e+01, 2.343750000000000000e+00, 8.906250000000000000e+00, 1.265625000000000000e+00, 7.484307765960693359e+00
3.000000000000000000e+01, 2.765625000000000000e+01, 1.734375000000000000e+01, 2.390625000000000000e+01, 2.765625000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 5.156250000000000000e+00, 2.484375000000000000e+01, 1.406250000000000000e+00, 2.015625000000000000e+00, 8.495795249938964844e+00
3.000000000000000000e+01, 2.015625000000000000e+01, 9.843750000000000000e+00, 1.640625000000000000e+01, 5.156250000000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 1.406250000000000000e+00, 2.109375000000000000e+01, 1.265625000000000000e+01, 1.640625000000000000e+00, 8.458732604980468750e+00
3.000000000000000000e+01, 1.640625000000000000e+01, 6.093750000000000000e+00, 2.765625000000000000e+01, 1.406250000000000000e-01, 3.624361753463745117e+00
3.000000000000000000e+01, 8.906250000000000000e+00, 1.359375000000000000e+01, 5.156250000000000000e+00, 8.906250000000000000e-01, 4.635021686553955078e+00
3.000000000000000000e+01, 2.390625000000000000e+01, 2.859375000000000000e+01, 2.015625000000000000e+01, 2.390625000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 1.195312500000000000e+01, 1.335937500000000000e+01, 2.414062500000000000e+01, 6.328125000000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 2.695312500000000000e+01, 2.835937500000000000e+01, 9.140625000000000000e+00, 2.132812500000000000e+00, 7.730311751365661621e-01
3.000000000000000000e+01, 4.453125000000000000e+00, 2.085937500000000000e+01, 1.664062500000000000e+01, 2.882812500000000000e+00, 5.535162925720214844e+00
3.000000000000000000e+01, 1.945312500000000000e+01, 5.859375000000000000e+00, 1.640625000000000000e+00, 1.382812500000000000e+00, 8.198956489562988281e+00
3.000000000000000000e+01, 7.031250000000000000e-01, 2.460937500000000000e+01, 2.789062500000000000e+01, 2.507812500000000000e+00, 9.247776985168457031e+00
3.000000000000000000e+01, 1.570312500000000000e+01, 9.609375000000000000e+00, 1.289062500000000000e+01, 1.007812500000000000e+00, 1.933775395154953003e-01
3.000000000000000000e+01, 8.203125000000000000e+00, 2.109375000000000000e+00, 2.039062500000000000e+01, 2.578125000000000000e-01, 7.620131969451904297e+00
3.000000000000000000e+01, 2.320312500000000000e+01, 1.710937500000000000e+01, 5.390625000000000000e+00, 1.757812500000000000e+00, 4.485924720764160156e+00
3.000000000000000000e+01, 6.328125000000000000e+00, 3.984375000000000000e+00, 1.476562500000000000e+01, 1.945312500000000000e+00, 5.910710334777832031e+00
3.000000000000000000e+01, 2.132812500000000000e+01, 1.898437500000000000e+01, 2.976562500000000000e+01, 4.453125000000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 1.382812500000000000e+01, 2.648437500000000000e+01, 7.265625000000000000e+00, 1.195312500000000000e+00, 2.555525064468383789e+00
3.000000000000000000e+01, 2.882812500000000000e+01, 1.148437500000000000e+01, 2.226562500000000000e+01, 2.695312500000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 1.007812500000000000e+01, 1.523437500000000000e+01, 1.101562500000000000e+01, 8.203125000000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 2.507812500000000000e+01, 2.343750000000000000e-01, 2.601562500000000000e+01, 2.320312500000000000e+00, 9.697886466979980469e+00
3.000000000000000000e+01, 2.578125000000000000e+00, 7.734375000000000000e+00, 3.515625000000000000e+00, 1.570312500000000000e+00, 7.279923439025878906e+00
3.000000000000000000e+01, 1.757812500000000000e+01, 2.273437500000000000e+01, 1.851562500000000000e+01, 7.031250000000000000e-02, 0.000000000000000000e+00
3.000000000000000000e+01, 3.515625000000000000e+00, 1.992187500000000000e+01, 1.945312500000000000e+01, 1.476562500000000000e+00, 6.333185672760009766e+00
3.000000000000000000e+01, 1.851562500000000000e+01, 4.921875000000000000e+00, 4.453125000000000000e+00, 2.976562500000000000e+00, 5.544531345367431641e+00
3.000000000000000000e+01, 1.101562500000000000e+01, 1.242187500000000000e+01, 2.695312500000000000e+01, 2.226562500000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 2.601562500000000000e+01, 2.742187500000000000e+01, 1.195312500000000000e+01, 7.265625000000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 1.476562500000000000e+01, 1.171875000000000000e+00, 1.570312500000000000e+01, 1.851562500000000000e+00, 8.713937759399414062e+00
3.000000000000000000e+01, 2.976562500000000000e+01, 1.617187500000000000e+01, 7.031250000000000000e-01, 3.515625000000000000e-01, 9.035507202148437500e+00
3.000000000000000000e+01, 7.265625000000000000e+00, 2.367187500000000000e+01, 2.320312500000000000e+01, 1.101562500000000000e+00, 2.546321868896484375e+00
3.000000000000000000e+01, 2.226562500000000000e+01, 8.671875000000000000e+00, 8.203125000000000000e+00, 2.601562500000000000e+00, 1.757110476493835449e+00
3.000000000000000000e+01, 9.140625000000000000e+00, 2.929687500000000000e+01, 2.578125000000000000e+00, 2.789062500000000000e+00, 7.400803565979003906e+00
3.000000000000000000e+01, 2.414062500000000000e+01, 1.429687500000000000e+01, 1.757812500000000000e+01, 1.289062500000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 1.640625000000000000e+00, 6.796875000000000000e+00, 1.007812500000000000e+01, 5.390625000000000000e-01, 8.116284370422363281e+00
3.000000000000000000e+01, 1.664062500000000000e+01, 2.179687500000000000e+01, 2.507812500000000000e+01, 2.039062500000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 5.390625000000000000e+00, 1.054687500000000000e+01, 6.328125000000000000e+00, 1.640625000000000000e-01, 4.329764842987060547e+00
3.000000000000000000e+01, 2.039062500000000000e+01, 2.554687500000000000e+01, 2.132812500000000000e+01, 1.664062500000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 1.289062500000000000e+01, 1.804687500000000000e+01, 1.382812500000000000e+01, 2.414062500000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 2.789062500000000000e+01, 3.046875000000000000e+00, 2.882812500000000000e+01, 9.140625000000000000e-01, 6.746691703796386719e+00
3.000000000000000000e+01, 3.984375000000000000e+00, 2.789062500000000000e+01, 1.054687500000000000e+01, 1.523437500000000000e+00, 5.869053363800048828e+00
3.000000000000000000e+01, 1.898437500000000000e+01, 1.289062500000000000e+01, 2.554687500000000000e+01, 2.343750000000000000e-02, 0.000000000000000000e+00
3.000000000000000000e+01, 1.148437500000000000e+01, 5.390625000000000000e+00, 3.046875000000000000e+00, 7.734375000000000000e-01, 6.732929229736328125e+00
3.000000000000000000e+01, 2.648437500000000000e+01, 2.039062500000000000e+01, 1.804687500000000000e+01, 2.273437500000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 7.734375000000000000e+00, 9.140625000000000000e+00, 1.429687500000000000e+01, 1.148437500000000000e+00, 2.082172393798828125e+00
3.000000000000000000e+01, 2.273437500000000000e+01, 2.414062500000000000e+01, 2.929687500000000000e+01, 2.648437500000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 2.343750000000000000e-01, 1.664062500000000000e+01, 6.796875000000000000e+00, 1.898437500000000000e+00, 9.656073570251464844e+00
3.000000000000000000e+01, 1.523437500000000000e+01, 1.640625000000000000e+00, 2.179687500000000000e+01, 3.984375000000000000e-01, 8.102573394775390625e+00
3.000000000000000000e+01, 1.335937500000000000e+01, 2.226562500000000000e+01, 2.742187500000000000e+01, 2.109375000000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 2.835937500000000000e+01, 7.265625000000000000e+00, 1.242187500000000000e+01, 1.710937500000000000e+00, 2.606296062469482422e+00
3.000000000000000000e+01, 5.859375000000000000e+00, 1.476562500000000000e+01, 1.992187500000000000e+01, 2.460937500000000000e+00, 4.086863994598388672e+00
3.000000000000000000e+01, 2.085937500000000000e+01, 2.976562500000000000e+01, 4.921875000000000000e+00, 9.609375000000000000e-01, 4.876283645629882812e+00
3.000000000000000000e+01, 2.109375000000000000e+00, 3.515625000000000000e+00, 2.367187500000000000e+01, 2.835937500000000000e+00, 7.874232292175292969e+00
3.000000000000000000e+01, 1.710937500000000000e+01, 1.851562500000000000e+01, 8.671875000000000000e+00, 1.335937500000000000e+00, 1.163095712661743164e+00
3.000000000000000000e+01, 9.609375000000000000e+00, 2.601562500000000000e+01, 1.617187500000000000e+01, 5.859375000000000000e-01, 1.521092951297760010e-01
3.000000000000000000e+01, 2.460937500000000000e+01, 1.101562500000000000e+01, 1.171875000000000000e+00, 2.085937500000000000e+00, 8.737134933471679688e+00
3.000000000000000000e+01, 1.054687500000000000e+01, 6.328125000000000000e+00, 5.859375000000000000e+00, 2.367187500000000000e+00, 4.077543735504150391e+00
3.000000000000000000e+01, 2.554687500000000000e+01, 2.132812500000000000e+01, 2.085937500000000000e+01, 8.671875000000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 3.046875000000000000e+00, 2.882812500000000000e+01, 1.335937500000000000e+01, 1.171875000000000000e-01, 6.668959617614746094e+00
3.000000000000000000e+01, 1.804687500000000000e+01, 1.382812500000000000e+01, 2.835937500000000000e+01, 1.617187500000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 6.796875000000000000e+00, 1.757812500000000000e+01, 2.109375000000000000e+00, 4.921875000000000000e-01, 7.642961978912353516e+00
3.000000000000000000e+01, 2.179687500000000000e+01, 2.578125000000000000e+00, 1.710937500000000000e+01, 1.992187500000000000e+00, 7.321599960327148438e+00
3.000000000000000000e+01, 1.429687500000000000e+01, 1.007812500000000000e+01, 9.609375000000000000e+00, 2.742187500000000000e+00, 3.648769557476043701e-01
3.000000000000000000e+01, 2.929687500000000000e+01, 2.507812500000000000e+01, 2.460937500000000000e+01, 1.242187500000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 1.171875000000000000e+00, 1.195312500000000000e+01, 1.523437500000000000e+01, 1.054687500000000000e+00, 8.635473251342773438e+00
3.000000000000000000e+01, 1.617187500000000000e+01, 2.695312500000000000e+01, 2.343750000000000000e-01, 2.554687500000000000e+00, 9.721192359924316406e+00
3.000000000000000000e+01, 8.671875000000000000e+00, 1.945312500000000000e+01, 2.273437500000000000e+01, 1.804687500000000000e+00, 1.209305286407470703e+00
3.000000000000000000e+01, 2.367187500000000000e+01, 4.453125000000000000e+00, 7.734375000000000000e+00, 3.046875000000000000e-01, 5.280943870544433594e+00
3.000000000000000000e+01, 1.242187500000000000e+01, 2.320312500000000000e+01, 1.898437500000000000e+01, 2.179687500000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 2.742187500000000000e+01, 8.203125000000000000e+00, 3.984375000000000000e+00, 6.796875000000000000e-01, 5.786264896392822266e+00
3.000000000000000000e+01, 4.921875000000000000e+00, 7.031250000000000000e-01, 2.648437500000000000e+01, 1.429687500000000000e+00, 9.141070365905761719e+00
3.000000000000000000e+01, 1.992187500000000000e+01, 1.570312500000000000e+01, 1.148437500000000000e+01, 2.929687500000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 9.960937500000000000e+00, 2.355468750000000000e+01, 2.824218750000000000e+01, 1.394531250000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 2.496093750000000000e+01, 8.554687500000000000e+00, 1.324218750000000000e+01, 2.894531250000000000e+00, 1.434771180152893066e+00
3.000000000000000000e+01, 2.460937500000000000e+00, 1.054687500000000000e+00, 2.074218750000000000e+01, 2.144531250000000000e+00, 8.860130310058593750e+00
3.000000000000000000e+01, 1.746093750000000000e+01, 1.605468750000000000e+01, 5.742187500000000000e+00, 6.445312500000000000e-01, 4.025018215179443359e+00
3.000000000000000000e+01, 6.210937500000000000e+00, 1.230468750000000000e+01, 2.449218750000000000e+01, 1.769531250000000000e+00, 3.666769504547119141e+00
3.000000000000000000e+01, 2.121093750000000000e+01, 2.730468750000000000e+01, 9.492187500000000000e+00, 2.695312500000000000e-01, 2.384596616029739380e-01
3.000000000000000000e+01, 1.371093750000000000e+01, 1.980468750000000000e+01, 1.699218750000000000e+01, 1.019531250000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 2.871093750000000000e+01, 4.804687500000000000e+00, 1.992187500000000000e+00, 2.519531250000000000e+00, 7.959880828857421875e+00
3.000000000000000000e+01, 5.859375000000000000e-01, 1.792968750000000000e+01, 7.617187500000000000e+00, 2.707031250000000000e+00, 9.384808540344238281e+00
3.000000000000000000e+01, 1.558593750000000000e+01, 2.929687500000000000e+00, 2.261718750000000000e+01, 1.207031250000000000e+00, 6.892613410949707031e+00
3.000000000000000000e+01, 8.085937500000000000e+00, 1.042968750000000000e+01, 1.171875000000000000e-01, 4.570312500000000000e-01, 9.631721496582031250e+00
3.000000000000000000e+01, 2.308593750000000000e+01, 2.542968750000000000e+01, 1.511718750000000000e+01, 1.957031250000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 1.183593750000000000e+01, 6.679687500000000000e+00, 1.136718750000000000e+01, 8.203125000000000000e-02, 3.032731771469116211e+00
3.000000000000000000e+01, 2.683593750000000000e+01, 2.167968750000000000e+01, 2.636718750000000000e+01, 1.582031250000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 4.335937500000000000e+00, 2.917968750000000000e+01, 3.867187500000000000e+00, 2.332031250000000000e+00, 6.066238403320312500e+00
3.000000000000000000e+01, 1.933593750000000000e+01, 1.417968750000000000e+01, 1.886718750000000000e+01, 8.320312500000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 5.273437500000000000e+00, 1.992187500000000000e+00, 1.792968750000000000e+01, 7.382812500000000000e-01, 7.784179210662841797e+00
3.000000000000000000e+01, 2.027343750000000000e+01, 1.699218750000000000e+01, 2.929687500000000000e+00, 2.238281250000000000e+00, 6.994430065155029297e+00
3.000000000000000000e+01, 1.277343750000000000e+01, 2.449218750000000000e+01, 2.542968750000000000e+01, 2.988281250000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 2.777343750000000000e+01, 9.492187500000000000e+00, 1.042968750000000000e+01, 1.488281250000000000e+00, 3.577775359153747559e-01
3.000000000000000000e+01, 9.023437500000000000e+00, 2.074218750000000000e+01, 2.167968750000000000e+01, 2.613281250000000000e+00, 9.379653334617614746e-01
3.000000000000000000e+01, 2.402343750000000000e+01, 5.742187500000000000e+00, 6.679687500000000000e+00, 1.113281250000000000e+00, 4.070909500122070312e+00
3.000000000000000000e+01, 1.523437500000000000e+00, 1.324218750000000000e+01, 2.917968750000000000e+01, 3.632812500000000000e-01, 8.216336250305175781e+00
3.000000000000000000e+01, 1.652343750000000000e+01, 2.824218750000000000e+01, 1.417968750000000000e+01, 1.863281250000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 1.464843750000000000e+01, 7.617187500000000000e+00, 4.804687500000000000e+00, 2.050781250000000000e+00, 5.100839614868164062e+00
3.000000000000000000e+01, 2.964843750000000000e+01, 2.261718750000000000e+01, 1.980468750000000000e+01, 5.507812500000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 7.148437500000000000e+00, 1.511718750000000000e+01, 1.230468750000000000e+01, 1.300781250000000000e+00, 2.683076143264770508e+00
3.000000000000000000e+01, 2.214843750000000000e+01, 1.171875000000000000e-01, 2.730468750000000000e+01, 2.800781250000000000e+00, 9.862910270690917969e+00
3.000000000000000000e+01, 3.398437500000000000e+00, 2.636718750000000000e+01, 1.054687500000000000e+00, 9.257812500000000000e-01, 8.740027427673339844e+00
3.000000000000000000e+01, 1.839843750000000000e+01, 1.136718750000000000e+01, 1.605468750000000000e+01, 2.425781250000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 1.089843750000000000e+01, 3.867187500000000000e+00, 8.554687500000000000e+00, 1.675781250000000000e+00, 6.001263618469238281e+00
3.000000000000000000e+01, 2.589843750000000000e+01, 1.886718750000000000e+01, 2.355468750000000000e+01, 1.757812500000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 1.992187500000000000e+00, 9.960937500000000000e+00, 1.183593750000000000e+01, 2.285156250000000000e+00, 7.936583042144775391e+00
3.000000000000000000e+01, 1.699218750000000000e+01, 2.496093750000000000e+01, 2.683593750000000000e+01, 7.851562500000000000e-01, 0.000000000000000000e+00
3.000000000000000000e+01, 9.492187500000000000e+00, 1.746093750000000000e+01, 4.335937500000000000e+00, 3.515625000000000000e-02, 5.371930122375488281e+00
3.000000000000000000e+01, 2.449218750000000000e+01, 2.460937500000000000e+00, 1.933593750000000000e+01, 1.535156250000000000e+00, 7.393645763397216797e+00
3.000000000000000000e+01, 1.324218750000000000e+01, 2.871093750000000000e+01, 8.085937500000000000e+00, 4.101562500000000000e-01, 1.658403038978576660e+00
3.000000000000000000e+01, 2.824218750000000000e+01, 1.371093750000000000e+01, 2.308593750000000000e+01, 1.910156250000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 5.742187500000000000e+00, 6.210937500000000000e+00, 5.859375000000000000e-01, 2.660156250000000000e+00, 9.380135536193847656e+00
3.000000000000000000e+01, 2.074218750000000000e+01, 2.121093750000000000e+01, 1.558593750000000000e+01, 1.160156250000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 7.617187500000000000e+00, 5.859375000000000000e-01, 2.496093750000000000e+01, 9.726562500000000000e-01, 9.213369369506835938e+00
3.000000000000000000e+01, 2.261718750000000000e+01, 1.558593750000000000e+01, 9.960937500000000000e+00, 2.472656250000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 1.171875000000000000e-01, 2.308593750000000000e+01, 1.746093750000000000e+01, 1.722656250000000000e+00, 9.755890846252441406e+00
3.000000000000000000e+01, 1.511718750000000000e+01, 8.085937500000000000e+00, 2.460937500000000000e+00, 2.226562500000000000e-01, 7.265149593353271484e+00
3.000000000000000000e+01, 3.867187500000000000e+00, 1.933593750000000000e+01, 2.871093750000000000e+01, 2.097656250000000000e+00, 6.042984008789062500e+00
3.000000000000000000e+01, 1.886718750000000000e+01, 4.335937500000000000e+00, 1.371093750000000000e+01, 5.976562500000000000e-01, 5.426690578460693359e+00
3.000000000000000000e+01, 1.136718750000000000e+01, 1.183593750000000000e+01, 2.121093750000000000e+01, 1.347656250000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 2.636718750000000000e+01, 2.683593750000000000e+01, 6.210937500000000000e+00, 2.847656250000000000e+00, 3.773839712142944336e+00
3.000000000000000000e+01, 1.230468750000000000e+01, 1.652343750000000000e+01, 1.523437500000000000e+00, 1.628906250000000000e+00, 8.340389251708984375e+00
3.000000000000000000e+01, 2.730468750000000000e+01, 1.523437500000000000e+00, 1.652343750000000000e+01, 1.289062500000000000e-01, 8.193535804748535156e+00
3.000000000000000000e+01, 4.804687500000000000e+00, 9.023437500000000000e+00, 9.023437500000000000e+00, 8.789062500000000000e-01, 4.985436916351318359e+00
3.000000000000000000e+01, 1.980468750000000000e+01, 2.402343750000000000e+01, 2.402343750000000000e+01, 2.378906250000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+01, 1.054687500000000000e+00, 5.273437500000000000e+00, 5.273437500000000000e+00, 1.253906250000000000e+00, 8.772218704223632812e+00
